BioProject,Organism,Instrument_Model,Library_Layout,Total_Pipeline_SRRs,Compute_Successful_SRRs,Had_Large_FastQs_>30GB,Curated_Metadata_SRRs,Total_Classes,Classes_with_Replicates,Included_in_PyDESeq2,Eligible_PyDESeq2_SRRs,Reason_for_Exclusion
PRJNA352875,Homo sapiens,Illumina HiSeq 2500,SINGLE,12,12,No,12,4,4,Yes,12,
PRJNA373978,Homo sapiens,Illumina HiSeq 2000,SINGLE,15,15,No,15,2,2,Yes,15,
PRJNA381757,Homo sapiens,NextSeq 500,"PAIRED, SINGLE",23,23,No,13,3,2,Yes,12,
PRJNA384289,Homo sapiens,Illumina HiSeq 2500,PAIRED,14,14,No,14,2,2,Yes,14,
PRJNA386992,Homo sapiens,"HiSeq X Ten, Illumina HiSeq 2000",PAIRED,47,43,Yes,21,2,2,Yes,21,
PRJNA397941,Homo sapiens,"Illumina HiSeq 1500, Illumina HiSeq 3000, NextSeq 500",SINGLE,43,43,No,43,15,13,Yes,41,
PRJNA416439,Homo sapiens,Illumina HiSeq 4000,PAIRED,48,48,No,48,2,2,Yes,48,
PRJNA419934,Homo sapiens,Illumina HiSeq 4000,"PAIRED, SINGLE",33,32,No,21,14,7,Yes,14,
PRJNA451395,Homo sapiens,Illumina HiSeq 2500,PAIRED,2,2,No,10,3,3,Yes,10,
PRJNA479479,Homo sapiens,Illumina HiSeq 2000,PAIRED,12,12,No,12,4,4,Yes,12,
PRJNA509121,Homo sapiens,Illumina HiSeq 4000,SINGLE,39,39,No,39,6,6,Yes,39,
PRJNA528522,Homo sapiens,Illumina HiSeq 2500,PAIRED,19,19,No,19,6,4,Yes,17,
PRJNA544334,Homo sapiens,Illumina HiSeq 2500,PAIRED,28,28,No,28,15,13,Yes,26,
PRJNA610985,Homo sapiens,"Illumina HiSeq 4000, NextSeq 500","PAIRED, SINGLE",37,37,No,9,3,3,Yes,9,
PRJNA623750,Homo sapiens,Illumina HiSeq 2500,PAIRED,12,12,No,12,4,4,Yes,12,
PRJNA625628,Homo sapiens,"Illumina HiSeq 4000, Illumina NovaSeq 6000",PAIRED,11,11,Yes,11,2,2,Yes,11,
PRJNA634200,Homo sapiens,Illumina HiSeq 2500,PAIRED,30,30,No,30,4,4,Yes,30,
PRJNA664293,Homo sapiens,Illumina HiSeq 2500,"PAIRED, SINGLE",24,24,No,12,6,6,Yes,12,
PRJNA673295,Homo sapiens,Illumina HiSeq 4000,PAIRED,12,12,No,12,4,4,Yes,12,
PRJNA673745,Homo sapiens,Illumina HiSeq 4000,PAIRED,12,12,No,12,4,4,Yes,12,
PRJNA734133,Homo sapiens,"Illumina HiSeq 1500, Illumina HiSeq 2500, Illumina HiSeq 4000","PAIRED, SINGLE",17,16,Yes,7,2,2,Yes,7,
PRJNA752868,Homo sapiens,Illumina HiSeq 4000,PAIRED,20,20,No,20,2,2,Yes,20,
PRJNA767228,Homo sapiens,Illumina HiSeq 2500,PAIRED,15,15,No,15,5,5,Yes,15,
PRJNA786266,Homo sapiens,Illumina NovaSeq 6000,PAIRED,13,13,No,15,3,3,Yes,15,
PRJNA788948,Homo sapiens,NextSeq 2000,PAIRED,19,19,No,19,14,4,Yes,9,
PRJNA838478,Homo sapiens,Illumina NovaSeq 6000,PAIRED,12,12,No,12,4,2,Yes,10,
PRJNA876028,Homo sapiens,Illumina NovaSeq 6000,PAIRED,12,12,No,6,2,2,Yes,6,
PRJNA903521,Homo sapiens,"HiSeq X Ten, Illumina NovaSeq 6000",PAIRED,14,14,Yes,11,6,5,Yes,10,
PRJNA976462,Homo sapiens,Illumina NovaSeq 6000,PAIRED,34,32,Yes,32,9,9,Yes,32,
PRJNA987832,Homo sapiens,HiSeq X Ten,PAIRED,12,12,No,12,6,6,Yes,12,
