project	method	n_deg_untrimmed	n_deg_trimmed	deg_jaccard	deg_gained	deg_lost	rho_log2fc	rho_top50_rank	n_path_untrimmed	n_path_trimmed	path_jaccard	rho_nes	dir_concordance
PRJNA1127555	P20	373	362	0.4411764705882353	137	148	0.8468732432270579	0.15543817527010806	33	43	0.7674418604651163	0.9602400960384153	1.0
PRJNA1127555	P35	373	251	0.233201581027668	133	255	0.6213172930323668	0.25579831932773106	33	45	0.7333333333333333	0.8660264105642257	1.0
PRJNA1133701	A	779	26	0.030729833546734954	2	755	0.16329500818431347	0.30948379351740696	45	47	0.84	0.8225210084033613	0.9
PRJNA1133701	P5	779	557	0.6826196473551638	15	237	0.9976273589445711	0.7039135654261703	45	40	0.8888888888888888	0.9713805522208883	1.0
PRJNA1133701	P10	779	37	0.03816793893129771	7	749	0.33315208571595495	0.265594237695078	45	40	0.7346938775510204	0.8742857142857142	0.9
PRJNA1133701	P20	779	275	0.29484029484029484	35	539	0.6497282497685716	0.33224489795918366	45	48	0.86	0.9684993997599038	1.0
PRJNA1133701	P35	779	612	0.5119565217391304	141	308	0.5249333729461804	0.4545978391356542	45	50	0.9	0.9772388955582233	1.0
PRJNA1165739	A	14918	14926	0.9965212737489966	30	22	0.9997479920933667	0.9990396158463385	28	29	0.9	0.9950060024009604	1.0
PRJNA1165739	P5	14918	14914	0.9957184907679957	30	34	0.9998858878043578	0.9981752701080432	28	27	0.9642857142857143	0.9951980792316926	1.0
PRJNA1165739	P10	14918	14930	0.9946538358727612	46	34	0.9998459668204408	0.9975030012004802	28	28	0.8666666666666667	0.9945258103241296	1.0
PRJNA1165739	P20	14918	16236	0.8753912834095834	1694	376	0.9833680218150146	0.9249939975990397	28	34	0.8235294117647058	0.986938775510204	1.0
PRJNA1165739	P35	14918	0	0.0	0	14918			28	0	0.0		
PRJNA1175639	A	5693	5699	0.9968448729184926	12	6	0.9990251843408036	0.8426501035196687	37	37	0.85	0.9955822328931572	1.0
PRJNA1175639	P5	5693	5709	0.9947515745276417	23	7	0.9993298379350201	0.8191535461505127	37	38	0.9230769230769231	0.9946218487394957	1.0
PRJNA1175639	P10	5693	5705	0.9957975836105761	18	6	0.9991027940638565	0.8125090278780874	37	40	0.925	0.9950060024009604	1.0
PRJNA1175639	P20	5693	5908	0.9238805970149254	337	122	0.8905595441015148	-0.46482707897630837	37	45	0.8222222222222222	0.9920288115246099	1.0
PRJNA1175639	P35	5693	0	0.0	0	5693			37	0	0.0		
